title,genres,director,overview,text_stopword,text_clean
The Family Man,"['Comedy', 'Drama', 'Romance']",Brett Ratner,"Jack's lavish, fast-paced lifestyle changes one Christmas night when he stumbles into a grocery store holdup and disarms the gunman. The next morning he wakes up in bed lying next to Kate, his college sweetheart he left in order to pursue his career, and to the horrifying discovery that his former life no longer exists. As he stumbles through this alternate suburban universe, Jack finds himself at a crossroad where he must choose between his high-power career and the woman he loves.","['jack', 'lavish', 'fastpaced', 'lifestyle', 'change', 'one', 'christmas', 'night', 'stumble', 'grocery', 'store', 'holdup', 'disarm', 'gunman', 'next', 'morning', 'wake', 'bed', 'lie', 'next', 'kate', 'college', 'sweetheart', 'leave', 'order', 'pursue', 'career', 'horrifying', 'discovery', 'former', 'life', 'long', 'exist', 'stumble', 'alternate', 'suburban', 'universe', 'jack', 'find', 'crossroad', 'must', 'choose', 'highpower', 'career', 'woman', 'love']",jack lavish fastpaced lifestyle change one christmas night stumble grocery store holdup disarm gunman next morning wake bed lie next kate college sweetheart leave order pursue career horrifying discovery former life long exist stumble alternate suburban universe jack find crossroad must choose highpower career woman love
RED,"['Action', 'Adventure', 'Comedy']",Robert Schwentke,"When his peaceful life is threatened by a high-tech assassin, former black-ops agent, Frank Moses reassembles his old team in a last ditch effort to survive and uncover his assailants.","['peaceful', 'life', 'threaten', 'hightech', 'assassin', 'former', 'blackops', 'agent', 'frank', 'moses', 'reassemble', 'old', 'team', 'last', 'ditch', 'effort', 'survive', 'uncover', 'assailant']",peaceful life threaten hightech assassin former blackops agent frank moses reassemble old team last ditch effort survive uncover assailant
Any Given Sunday,['Drama'],Oliver Stone,A star quarterback gets knocked out of the game and an unknown third stringer is called in to replace him. The unknown gives a stunning performance and forces the aging coach to reevaluate his game plans and life. A new co-owner/president adds to the pressure of winning. The new owner must prove her self in a male dominated world.,"['star', 'quarterback', 'get', 'knock', 'game', 'unknown', 'third', 'stringer', 'call', 'replace', 'unknown', 'give', 'stunning', 'performance', 'force', 'age', 'coach', 'reevaluate', 'game', 'plan', 'life', 'new', 'coownerpresident', 'add', 'pressure', 'win', 'new', 'owner', 'must', 'prove', 'self', 'male', 'dominate', 'world']",star quarterback get knock game unknown third stringer call replace unknown give stunning performance force age coach reevaluate game plan life new coownerpresident add pressure win new owner must prove self male dominate world
The Horse Whisperer,"['Drama', 'Romance']",Robert Redford,"Based on the novel by the same name from Nicholas Evans, the talented Robert Redford presents this meditative family drama set in the country side. Redford not only directs but also stars in the roll of a cowboy with a magical talent for healing.","['base', 'novel', 'name', 'nicholas', 'evans', 'talented', 'robert', 'redford', 'present', 'meditative', 'family', 'drama', 'set', 'country', 'side', 'redford', 'direct', 'also', 'star', 'roll', 'cowboy', 'magical', 'talent', 'heal']",base novel name nicholas evans talented robert redford present meditative family drama set country side redford direct also star roll cowboy magical talent heal
Collateral,"['Drama', 'Crime', 'Thriller']",Michael Mann,Cab driver Max picks up a man who offers him $600 to drive him around. But the promise of easy money sours when Max realizes his fare is an assassin.,"['cab', 'driver', 'max', 'pick', 'man', 'offer', '600', 'drive', 'around', 'promise', 'easy', 'money', 'sour', 'max', 'realize', 'fare', 'assassin']",cab driver max pick man offer 600 drive around promise easy money sour max realize fare assassin
The Scorpion King,"['Action', 'Fantasy', 'Adventure']",Chuck Russell,"In ancient Egypt, peasant Mathayus is hired to exact revenge on the powerful Memnon and the sorceress Cassandra, who are ready to overtake Balthazar's village. Amid betrayals, thieves, abductions and more, Mathayus strives to bring justice to his complicated world.","['ancient', 'egypt', 'peasant', 'mathayus', 'hire', 'exact', 'revenge', 'powerful', 'memnon', 'sorceress', 'cassandra', 'ready', 'overtake', 'balthazar', 'village', 'amid', 'betrayal', 'thief', 'abduction', 'mathayus', 'strives', 'bring', 'justice', 'complicate', 'world']",ancient egypt peasant mathayus hire exact revenge powerful memnon sorceress cassandra ready overtake balthazar village amid betrayal thief abduction mathayus strives bring justice complicate world
Ladder 49,"['Drama', 'Action', 'Thriller']",Jay Russell,"Under the watchful eye of his mentor, Captain Mike Kennedy, probationary firefighter Jack Morrison matures into a seasoned veteran at a Baltimore fire station. However, Jack has reached a crossroads  as the sacrifices he's made have put him in harm's way innumerable times and significantly impacted his relationship with his wife and kids.","['watchful', 'eye', 'mentor', 'captain', 'mike', 'kennedy', 'probationary', 'firefighter', 'jack', 'morrison', 'mature', 'seasoned', 'veteran', 'baltimore', 'fire', 'station', 'however', 'jack', 'reach', 'crossroad', 'sacrifice', 'make', 'put', 'harm', 'way', 'innumerable', 'time', 'significantly', 'impact', 'relationship', 'wife', 'kid']",watchful eye mentor captain mike kennedy probationary firefighter jack morrison mature seasoned veteran baltimore fire station however jack reach crossroad sacrifice make put harm way innumerable time significantly impact relationship wife kid
Jack Reacher,"['Crime', 'Drama', 'Thriller']",Christopher McQuarrie,"In an innocent heartland city, five are shot dead by an expert sniper. The police quickly identify and arrest the culprit, and build a slam-dunk case. But the accused man claims he's innocent and says ""Get Jack Reacher."" Reacher himself sees the news report and turns up in the city. The defense is immensely relieved, but Reacher has come to bury the guy. Shocked at the accused's request, Reacher sets out to confirm for himself the absolute certainty of the man's guilt, but comes up with more than he bargained for.","['innocent', 'heartland', 'city', 'five', 'shoot', 'dead', 'expert', 'sniper', 'police', 'quickly', 'identify', 'arrest', 'culprit', 'build', 'slamdunk', 'case', 'accused', 'man', 'claim', 'innocent', 'say', 'get', 'jack', 'reacher', 'reacher', 'see', 'news', 'report', 'turn', 'city', 'defense', 'immensely', 'relieve', 'reacher', 'come', 'bury', 'guy', 'shock', 'accused', 'request', 'reacher', 'set', 'confirm', 'absolute', 'certainty', 'man', 'guilt', 'come', 'bargain']",innocent heartland city five shoot dead expert sniper police quickly identify arrest culprit build slamdunk case accused man claim innocent say get jack reacher reacher see news report turn city defense immensely relieve reacher come bury guy shock accused request reacher set confirm absolute certainty man guilt come bargain
Deep Blue Sea,"['Action', 'Science Fiction', 'Thriller']",Renny Harlin,"On a remote former submarine refueling facility called Aquatica, a team of scientists are searching for a cure for Alzheimer's disease. Dr. Susan McAlester genetically engineers three Mako sharks, intending to increase their brain capacity so that they can harvest the tissue as a cure for Alzheimer's. Unfortunately, the increased brain capacity also makes the sharks smarter, faster, and more dangerous. Aquatica's financial backers are skeptical and nervous about the tests, and send a corporate executive to visit the facility.","['remote', 'former', 'submarine', 'refuel', 'facility', 'call', 'aquatica', 'team', 'scientist', 'search', 'cure', 'alzheimers', 'disease', 'dr', 'susan', 'mcalester', 'genetically', 'engineer', 'three', 'mako', 'shark', 'intend', 'increase', 'brain', 'capacity', 'harvest', 'tissue', 'cure', 'alzheimers', 'unfortunately', 'increase', 'brain', 'capacity', 'also', 'make', 'shark', 'smarter', 'fast', 'dangerous', 'aquaticas', 'financial', 'backer', 'skeptical', 'nervous', 'test', 'send', 'corporate', 'executive', 'visit', 'facility']",remote former submarine refuel facility call aquatica team scientist search cure alzheimers disease susan mcalester genetically engineer three mako shark intend increase brain capacity harvest tissue cure alzheimers unfortunately increase brain capacity also make shark smarter fast dangerous aquaticas financial backer skeptical nervous test send corporate executive visit facility
This Is It,"['Music', 'Documentary']",Kenny Ortega,"A compilation of interviews, rehearsals and backstage footage of Michael Jackson as he prepared for his series of sold-out shows in London.","['compilation', 'interview', 'rehearsal', 'backstage', 'footage', 'michael', 'jackson', 'prepare', 'series', 'soldout', 'show', 'london']",compilation interview rehearsal backstage footage michael jackson prepare series soldout show london
Contagion,"['Drama', 'Thriller', 'Science Fiction']",Steven Soderbergh,"As an epidemic of a lethal airborne virus - that kills within days - rapidly grows, the worldwide medical community races to find a cure and control the panic that spreads faster than the virus itself.","['epidemic', 'lethal', 'airborne', 'virus', 'kill', 'within', 'day', 'rapidly', 'grow', 'worldwide', 'medical', 'community', 'race', 'find', 'cure', 'control', 'panic', 'spread', 'fast', 'virus']",epidemic lethal airborne virus kill within day rapidly grow worldwide medical community race find cure control panic spread fast virus
Kangaroo Jack,"['Comedy', 'Adventure', 'Crime']",David McNally,"Two childhood friends, a New York hairstylist and a wanna-be musician, get mixed-up with the mob and are forced to deliver $50,000 to Australia, but things go all wrong when the money is lost to a wild kangaroo.","['two', 'childhood', 'friend', 'new', 'york', 'hairstylist', 'wannabe', 'musician', 'get', 'mixedup', 'mob', 'force', 'deliver', '50000', 'australia', 'thing', 'go', 'wrong', 'money', 'lose', 'wild', 'kangaroo']",two childhood friend new york hairstylist wannabe musician get mixedup mob force deliver 50000 australia thing wrong money lose wild kangaroo
Coraline,"['Animation', 'Family']",Henry Selick,"When Coraline moves to an old house, she feels bored and neglected by her parents. She finds a hidden door with a bricked up passage. During the night, she crosses the passage and finds a parallel world where everybody has buttons instead of eyes, with caring parents and all her dreams coming true. When the Other Mother invites Coraline to stay in her world forever, the girl refuses and finds that the alternate reality where she is trapped is only a trick to lure her.","['coraline', 'move', 'old', 'house', 'feel', 'bore', 'neglect', 'parent', 'find', 'hidden', 'door', 'bricked', 'passage', 'night', 'cross', 'passage', 'find', 'parallel', 'world', 'everybody', 'button', 'instead', 'eye', 'care', 'parent', 'dream', 'come', 'true', 'mother', 'invite', 'coraline', 'stay', 'world', 'forever', 'girl', 'refuse', 'find', 'alternate', 'reality', 'trap', 'trick', 'lure']",coraline move old house feel bore neglect parent find hidden door bricked passage night cross passage find parallel world everybody button instead eye care parent dream come true mother invite coraline stay world forever girl refuse find alternate reality trap trick lure
The Happening,"['Thriller', 'Science Fiction']",M. Night Shyamalan,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore (Mark Wahlberg) and his wife (Zooey Deschanel) flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister? John Leguizamo and Betty Buckley co-star in this thriller from writer-director M. Night Shyamalan.","['deadly', 'airborne', 'virus', 'threaten', 'wipe', 'northeastern', 'united', 'state', 'teacher', 'elliott', 'moore', 'mark', 'wahlberg', 'wife', 'zooey', 'deschanel', 'flee', 'contaminated', 'city', 'countryside', 'fight', 'discover', 'truth', 'terrorism', 'accidental', 'release', 'toxic', 'military', 'bio', 'weapon', 'something', 'even', 'sinister', 'john', 'leguizamo', 'betty', 'buckley', 'costar', 'thriller', 'writerdirector', 'night', 'shyamalan']",deadly airborne virus threaten wipe northeastern united state teacher elliott moore mark wahlberg wife zooey deschanel flee contaminated city countryside fight discover truth terrorism accidental release toxic military bio weapon something even sinister john leguizamo betty buckley costar thriller writerdirector night shyamalan
